pass_or_fail,test_plan,cushion,test_plan_id,seat_model,test_date,vert_burn_length_front,vert_burn_length_back,horiz_burn_length_top,horiz_burn_length_bottom,weight_loss_lbs,weight_loss_percent,cover_config,foam_a_percent,foam_a_material,foam_b_percent,foam_b_material,foam_c_percent,foam_c_material,foam_d_percent,foam_d_material,foam_e_percent,foam_e_material,decorative_insulation_part_number,decorative_insulation_mfr,backing,adhesive_one,adhesive_two,fireblock_type,fireblock_part_number,fireblock_color,fireblock_mfr,flame_treatment,fireblock_percent,thermoplastic_part_number,thermoplastic_mfr
Pass,4FR4114-12,Headrest,129,4114,"December 17, 2013",12.7,0,13.4,12.1,0.47,7.85,Fully Encapsulated,,,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-2556,ADMIRAL BLUE,Tapis corp,n/a,n/a,n/a,n/a
FAIL,4FR4114-12,Headrest,130,4114,"December 17, 2013",14.6,0,114.2,12.2,0.61,10.14,Fully Encapsulated,8,LD45FR,92,QS5151288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-2556,ADMIRAL BLUE,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,136,4114,"July 10, 2015",5.2,0,4.6,5.4,0.39,5.26,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,7500,ASH GREY,LANTAL,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,137,4114,"July 10, 2015",6.5,0,4.3,4.3,0.37,5.29,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,LT-4437,GREY,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,142,4114,"July 10, 2015",11.6,0,10.4,5.2,0.69,9.57,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,4495,DARK BLUE,LANTAL,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,143,4114,"July 10, 2015",5.2,0,5,7.6,0.27,4.63,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-5739,GRAPHITE,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,144,4114,"July 10, 2015",9.6,0,8.1,6.5,0.56,7.99,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,HT-857,HERITAGE BLUE,TOWNSEND LEATHER,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,145,4114,"July 10, 2015",8.5,0,6.5,6.2,0.56,8.01,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,HT-198,HERITAGE DARK GRAY,TOWNSEND LEATHER,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,147,4114,"July 10, 2015",8.6,0,6.7,6.7,0.52,7.2,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,HT-136,HERITAGE MEDIUM GRAY,TOWNSEND LEATHER,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,150,4114,"August 17, 2015",8.4,0,7.5,14.3,0.56,8.25,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,151,4114,"August 17, 2015",6.2,0,5.1,6.3,0.34,5.02,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-3602,GRAY,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,152,4114,"August 17, 2015",6,0,4.6,8,0.25,4.28,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-4261,JUNIPER,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,135,4114,"December 23, 2015",6.3,0,4.3,6,0.57,7.16,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,7700,GRANITE,LANTAL,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,146,4114,"December 23, 2015",5.8,0,5.5,5.9,0.36,4.81,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,HT-3851-0507,HERITAGE CHAMOIS,TOWNSEND LEATHER,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,148,4114,"December 23, 2015",4.3,0,3.6,6.3,0.41,5.02,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,AO-S-1003,GRAY,AERISTO,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,149,4114,"December 23, 2015",6.2,0,4.8,7.3,0.34,5.86,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,ULFR-2680,WINDSOR,Tapis corp,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Back,157,4114,"November 18, 2015",6.3,0,4.6,9,0.41,6.94,Fully Encapsulated,100,DAX 25,,,,,,,,,n/a,n/a,30333,CC-1025/LB,Coral Adhesives,N/A,CD50-AR175FR,ENCHANTED BLUE,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,159,4114,"November 18, 2015",5.9,0,3.7,8.4,0.41,6.53,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7725R,CD50-AR175FR,ENCHANTED BLUE,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,161,4114,"November 18, 2015",5,0,3.5,8.3,0.37,6.13,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7725R,CD94-AR175FR,RED,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,BOTTOM,158,4114,"November 19, 2015",6.2,0,4.8,6.1,0.42,6.66,Fully Encapsulated,100,DAX 55,,,,,,,,,n/a,n/a,30333,CC-1025/LB,Coral Adhesives,N/A,CD50-AR175FR,ENCHANTED BLUE,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,160,4114,"November 19, 2015",6.4,0,4.7,5.5,0.41,6.65,Fully Encapsulated,8,LD45FR,92,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7725R,CD50-AR175FR,ENCHANTED BLUE,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,162,4114,"November 19, 2015",5.5,0,4,5.4,0.35,5.8,Fully Encapsulated,8,LD45FR,92,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7725R,CD94-AR175FR,RED,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Back,157,4114,"November 18, 2015",6.3,0,4.6,9,0.41,6.94,Fully Encapsulated,100,DAX 25,,,,,,,,,n/a,n/a,30333,CC-1025/LB,Coral Adhesives,N/A,CD50-AR175FR,ENCHANTED BLUE,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,159,4114,"November 18, 2015",5.9,0,3.7,8.4,0.41,6.53,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7735r,CD50-AR175FR,ENCHANTED BLUE,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,161,4114,"November 18, 2015",5,0,3.5,8.3,0.37,6.13,Fully Encapsulated,4,LD45FR,96,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,CD-AR175FR,ENCHANTED BLUE,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,BOTTOM,158,4114,"November 19, 2015",6.2,0,4.8,6.1,0.42,6.66,Fully Encapsulated,100,DAX 55,,,,,,,,,n/a,n/a,30333,CC-1025/LB,Coral Adhesives,N/A,CD50-AR175FR,ENCHANTED BLUE,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,160,4114,"November 19, 2015",6.4,0,4.7,5.5,0.41,6.65,Fully Encapsulated,8,LD45FR,92,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,CD50-AR175FR,ENCHANTED BLUE,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4114-12,Headrest,162,4114,"November 19, 2015",5.5,0,4,5.4,0.35,5.8,Fully Encapsulated,8,LD45FR,92,QS51288YL,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesives,7535R,CD50-AR175FR,RED,LUXAIRE,n/a,n/a,n/a,n/a
Pass,4FR4118-12-101,Headrest,1,4118,"April 30, 2013",2.5,0,4.3,5,4041,5.76,Picture Frame,42.5,Q21185YL,57.5,QS31263YL,34.3,Q21185YL,49.1,QS31263YL,16.6,QS41288YL,71000,Buckley Industries,FR4440,CC-1025/LB,Coral Adhesives,7535R,LL3330,Regal Blue,Douglass Interior Products,n/a,100,n/a,n/a
Pass,4FR4119-12-2088,Back,1,4119,"April 5, 2013",6.2,0,4.7,5.3,0.52,8.63,Picture Frame,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,HT-857,Dark Blue,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2088,Bottom,2,4119,"April 5, 2013",7.8,0,8,5.7,0.56,9.84,Picture Frame,67.06,QS26185YL,32.94,Synergy 1000,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,HT-857,Dark Blue,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2088,Headrest,3,4119,"April 5, 2013",10.2,0,5.5,7.3,0.55,6.91,Fully Encapsulated,100,QS26185YL,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,HT-857,Dark Blue,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2044,Back,3,4119,"January 25, 2014",4.1,0,4.6,5.2,0.43,7.47,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,GA-5653-0207,Cloud,Townsend Leather,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2044,Bottom,4,4119,"January 25, 2014",3.4,0,3.7,5,0.32,5.67,Fully Encapsulated,67.06,QS31263YL Polyurethane,32.93,Synergy 1000,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,GA-5653-0207,Cloud,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2075,Back/Headrest,3,4119,"February 10, 2014",0,0,3.4,2,0.3,4.86,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,HT-136,Medium Grey,Townsend Leather,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2089,BACK,3,4119,"August 2, 2013",9.2,0,4.8,2,0.37,7.24,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,BY SUPPLIER,100,n/a,n/a
FAIL,4FR4119-12-2089,BACK,1,4119,"June 26, 2013",9.7,0,5.6,8.7,0.51,10.5,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,BY SUPPLIER,100,n/a,n/a
Pass,4FR4119-12-2089,Bottom,2,4119,"June 26, 2013",10.3,0,6.3,7.3,0.38,7.95,Fully Encapsulated,67,QS31263YL Polyurethane,33,Synergy 1000,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,BY SUPPLIER,100,n/a,n/a
Pass,4FR4119-12-2031,Bottom,6,4119,"February 6, 2015",4.4,0,3,2.8,0.34,5.7,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,HT-52045-0507,TAN,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2031,BACK,5,4119,"February 6, 2015",3.7,0,4,3.9,0.42,7.16,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,HT-52045-0507,TAN,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2031,Headrest,7,4119,"February 6, 2015",2.9,0,2.9,3.3,0.37,6.45,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,HT-52045-0507,TAN,Townsend Leather,n/a,100,n/a,n/a
Pass,4FR4119-12-2056,Bottom,6,4119,"April 13, 2015",7.4,0,6,4,0.33,6.95,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12,Bottom,50,4119,"February 6, 2015",5.2,0,4.6,3.3,0.26,5.07,Fully Encapsulated,23.37,QA31263YL,20.85,QS41288YL,19.84,QS51288YL,32.93,4101FR,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5666,DOVE GREY,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12,Headrest,51,4119,"February 6, 2015",5.7,0,4.3,5.3,0.29,3.73,Fully Encapsulated,100,QS26263YL,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5666,DOVE GREY,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12,BACK,52,4119,"February 6, 2015",5.9,0,4.7,2.1,0.23,4.43,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,ULFR-5666,DOVE GREY,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12,BACK,53,4119,"February 6, 2015",6.4,0,5.4,3.6,0.29,5.76,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,ULFR-2551,BALTIC BLUE,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12,Bottom,54,4119,"February 6, 2015",7.2,0,5.3,2.3,0.23,4.64,Fully Encapsulated,23.37,QS31263YL Polyurethane,20.85,QS41288YL,19.87,QS51288YL,32.9,4101FR,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-2551,BALTIC BLUE,TAPIS,n/a,100,n/a,n/a
Pass,4FR4119-12-2096,Bottom,2,4119,"April 8, 2015",3.9,0,3.8,4.2,0.34,6.23,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,96069.11,BLACK,ROHI STOFFE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2096,BACK/ HEADREST,1,4119,"April 2, 2015",4.9,0,3,2.1,0.35,6.72,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,96069.11,BLACK,ROHI STOFFE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2092,Bottom,8,4119,"March 18, 2015",6.6,0,5.5,4.6,0.32,6.32,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5681,SMOKE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2092,Bottom,7,4119,"March 18, 2015",6.8,0,5.3,4.5,0.32,6.37,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5758,SOFT GREY,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2092,BACK,6,4119,"March 18, 2015",7.2,0,5.7,3.6,0.3,5.97,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5681,SMOKE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2092,BACK,5,4119,"March 18, 2015",7.3,0,6.1,4.7,0.35,7.02,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-5758,SOFT GREY,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2037,Back/Headrest,4,4119,"June 11, 2015",6.2,0,5.7,3,0.45,8.05,Fully Encapsulated,100,QS31263YL Polyurethane,100,,,,,,,,71000,Buckley Industries,n/a,CC-1025/LB,Coral Adhesive,7725R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2037,Bottom,5,4119,"June 11, 2015",7.8,0.8,5.4,4.6,0.36,6.51,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,71000,Buckley Industries,n/a,CC-1025/LB,Coral Adhesive,7725R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2037,Headrest,6,4119,"June 11, 2015",6.9,0,6.3,6.1,0.53,9.3,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,n/a,CC-1025/LB,Coral Adhesive,7725R,FW2255,NAPOLEON GRAY,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2077,BACK,4,4119,"August 3, 2015",5.6,0,3.9,4.2,0.37,6.36,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,MR-27114-ST,BALTIC OCEAN,Townsend Leather,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2077,Bottom,5,4119,"August 3, 2015",4.8,0,3.3,1.7,0.37,6.37,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,MR-27114-ST,BALTIC OCEAN,Townsend Leather,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2077,Headrest,6,4119,"August 3, 2015",7.7,0,4.2,10,0.45,5.49,Fully Encapsulated,100,QS26263YL,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,MR-27114-ST,BALTIC OCEAN,Townsend Leather,n/a,n/a,41031287,ZSC
Pass,4FR4119-12-2098,BACK,1,4119,"August 19, 2015",5.1,0,3.4,3.7,0.34,5.56,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7535R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2098,Headrest,3,4119,"August 19, 2015",10,0,6.4,5.7,0.44,4.82,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2098,Bottom,2,4119,"August 20, 2015",6.2,0,3.9,2,0.29,4.85,Fully Encapsulated,26.37,QS31263YL Polyurethane,20.85,QS41288YL,19.84,QS51288YL,32.93,4101FR,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7735R,FW2227,ENCHANTED BLUE,PERRONE,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2043,Back/Headrest,3,4119,"September 14, 2015",4.8,0,4,3.6,0.35,7.22,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2043,Bottom,4,4119,"September 14, 2015",4.8,0,3.8,2.3,0.32,6.23,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,ULFR-5739,GRAPHITE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2072,BACK,3,4119,"September 16, 2015",5.4,0,4.4,5.9,0.4,8.31,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-2551,BALTIC BLUE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2072,Bottom,4,4119,"September 16, 2015",5.1,0,3.8,4.8,0.33,6.52,Fully Encapsulated,100,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,ULFR-2551,BALTIC BLUE,TAPIS,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2100,Bottom,2,4119,"December 9, 2015",6,0,3.3,3.6,0.22,4.54,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,DURALITE FR,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,BLUE,BLUE,BOTTANY WEAVING,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2100,BACK/ HEADREST,1,4119,"December 9, 2015",5,0,3.7,4.4,0.32,6.26,Fully Encapsulated,100,QS31263YL Polyurethane,,,,,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,32BWJ1995M1506,BLUE,BOTTANY WEAVING,n/a,n/a,n/a,n/a
Pass,4FR4119-12-2100,Bottom,2,4119,"December 9, 2015",6,0,3.3,3.6,0.22,4.54,Fully Encapsulated,47.22,QS41288YL,19.84,QS51288YL,32.93,SYNERGY 1000,,,,,71000,Buckley Industries,30333,CC-1025/LB,Coral Adhesive,7725R,32BWJ1995M1506,BLUE,BOTTANY WEAVING,n/a,n/a,n/a,n/a
Pass,4FR4119-12,Bottom,55,4119,"November 10, 2015",5.3,0,3.6,4.7,0.38,6.2,Fully Encapsulated,26.37,QS31263YL Polyurethane,20.85,QS41288YL,19.84,QS51288YL,32.93,4101FR,,,n/a,n/a,n/a,CC-1025/LB,Coral Adhesive,7725R,CD50-AR175FR,ENCHANTED BLUE,DOUGLAS INTERIOR,n/a,n/a,n/a,n/a
